sgRNA	Gene	R0_1	R0_2	R0_3	Rpost_1	Rpost_2	Rpost_3	Rpost_4	S0_1	S0_2	S0_3	Spost_1	Spost_2	Spost_3
sgMSRB2_9	MSRB2	0	43067	0	0	3910	0	0	0	0	0	0	0	0
sgCHRNG_6	CHRNG	0	5104	0	0	0	0	0	0	0	0	0	0	0
sgNRIP1_10	NRIP1	0	41237	0	1583	0	0	0	0	0	0	0	0	2
sgPLIN2_4	PLIN2	0	83526	0	0	0	0	0	0	0	0	0	0	0
sgLPCAT4_10	LPCAT4	0	125933	0	0	0	0	0	0	0	0	0	0	22496
sgDUS2_6	DUS2	0	4952	0	0	0	0	0	0	0	0	0	0	0
sgASL_1	ASL	0	56529	890	0	1	0	0	0	0	0	0	0	0
sgMFSD1_1	MFSD1	0	4033	0	0	0	0	0	0	0	0	0	0	0
sgNAPEPLD_1	NAPEPLD	0	72565	0	0	0	0	0	0	0	0	0	0	0
sgFUT9_8	FUT9	0	15407	0	0	0	0	0	0	0	0	0	0	0
sgGPHN_4	GPHN	0	30241	0	690	0	0	0	0	0	0	0	0	1
sgKCNJ4_6	KCNJ4	0	11999	0	0	0	0	0	0	0	0	0	0	0
sgNDUFA8_9	NDUFA8	0	6584	0	0	0	0	0	0	0	0	0	0	0
sgCHST13_3	CHST13	0	106787	0	0	0	0	0	0	0	0	0	0	0
sgFMO1_8	FMO1	0	17733	0	0	0	0	0	0	0	0	0	0	0
sgALDH3A1_4	ALDH3A1	0	29801	0	0	0	0	0	0	0	0	0	0	0
sgGALNT5_1	GALNT5	0	35560	0	0	0	0	0	14504	0	0	0	0	0
sgZADH2_6	ZADH2	0	7315	0	0	0	0	0	0	0	0	0	0	0
sgGLO1_9	GLO1	0	20438	0	0	0	4	0	0	0	0	0	0	0
sgCOX7A1_5	COX7A1	0	32292	0	0	0	0	0	0	0	0	0	0	0
sgUAP1_9	UAP1	0	70032	0	755	870	0	1	0	0	0	0	0	1
sgUGT2A1_3	UGT2A1	0	50084	0	0	0	0	0	0	0	0	0	0	0
INTERGENIC241199	INTERGENIC	0	39484	0	0	0	11952	0	0	0	0	0	0	0
sgGFOD1_6	GFOD1	0	10732	0	0	0	0	0	0	0	0	0	0	0
sgTHEM5_5	THEM5	0	61656	0	0	0	0	0	1	0	0	0	0	0
sgB4GALT3_8	B4GALT3	0	12399	0	0	0	0	0	0	0	0	0	0	0
sgAKR7A2_5	AKR7A2	0	5094	0	0	0	0	0	0	0	0	0	0	0
sgCOQ6_9	COQ6	0	20707	0	0	0	0	0	0	0	0	0	0	0
sgHAS1_5	HAS1	0	11756	0	0	0	0	0	0	0	0	0	0	0
sgTRPV2_9	TRPV2	0	11246	0	0	0	0	0	0	0	0	0	0	0
sgGSTT2_3	GSTT2	0	10101	0	0	0	0	0	0	0	0	0	0	0
INTERGENIC654395	INTERGENIC	0	42989	0	0	0	0	0	0	0	0	0	0	0
sgALDH3A2_6	ALDH3A2	0	161	0	0	0	0	0	0	0	0	0	0	0
sgMARC2_8	MARC2	0	20042	0	0	0	0	0	0	0	0	0	0	0
sgTRPM7_8	TRPM7	0	17943	593	0	0	0	0	0	0	0	0	0	0
sgPGLS_8	PGLS	0	13048	0	0	0	0	0	0	0	0	0	0	0
sgSLC41A2_7	SLC41A2	0	15857	0	0	0	0	0	0	0	0	0	0	0
sgPHYKPL_1	PHYKPL	0	28689	0	0	0	0	0	0	0	0	0	0	0
sgPCK1_5	PCK1	0	14070	0	0	817	0	0	0	0	0	0	0	0
sgACOT13_3	ACOT13	0	11471	0	0	0	0	0	0	0	0	0	0	0
sgATP9B_7	ATP9B	0	5042	0	0	0	0	0	0	0	0	0	0	0
sgGABRA3_10	GABRA3	0	3615	0	2246	0	0	0	0	0	0	0	0	3
sgNXN_3	NXN	0	12694	0	0	0	0	0	0	0	0	0	0	0
sgGLDC_4	GLDC	0	11358	0	110	0	0	1	0	0	0	0	0	0
sgPKLR_3	PKLR	0	1497	0	0	0	0	0	0	0	0	0	0	0
sgGCLC_9	GCLC	0	450	0	0	0	0	0	0	0	0	0	0	0
sgKCNJ9_1	KCNJ9	0	4864	0	0	0	0	0	0	0	0	0	0	0
sgPIGY_10	PIGY	0	4362	0	0	0	0	0	0	0	0	0	0	0
sgPIK3R3_5	PIK3R3	0	14107	0	0	0	0	0	0	0	0	0	0	0
sgSREBF1_9	SREBF1	0	6073	0	0	0	0	0	0	0	0	0	0	0
sgBDH1_9	BDH1	0	1561	0	0	0	0	0	0	0	0	0	0	0
sgCHRND_6	CHRND	0	48	0	0	0	0	0	0	0	0	0	0	0
sgSCN1B_3	SCN1B	0	4674	0	0	0	0	0	0	0	0	0	0	0
sgSLC26A11_7	SLC26A11	0	1859	0	0	0	0	0	0	0	0	0	0	0
sgB3GALNT2_7	B3GALNT2	0	1235	0	0	0	0	0	0	0	0	0	0	0
sgSLC4A10_10	SLC4A10	0	865	0	0	0	0	0	0	0	0	0	0	0
sgATP6V1G3_10	ATP6V1G3	0	818	0	0	0	0	0	0	0	0	0	0	0
sgGCNT2_4	GCNT2	0	6043	0	0	0	96	0	0	0	0	0	0	0
sgNAT2_4	NAT2	0	2427	0	0	0	0	0	0	0	0	0	18	1143
sgB3GNT5_4	B3GNT5	0	1696	0	0	0	0	0	0	0	0	0	0	0
sgSRR_10	SRR	0	1269	0	0	0	0	0	0	0	0	0	0	0
sgSLC35A2_1	SLC35A2	0	716	0	0	0	0	0	0	0	0	0	0	0
sgNDUFB6_2	NDUFB6	0	631	0	0	0	0	0	0	0	0	0	0	0
sgCHRNA7_6	CHRNA7	0	335	0	0	0	0	0	0	0	397	0	0	0
sgUGT2B4_9	UGT2B4	0	424	0	0	0	0	0	0	0	0	0	0	0
sgPDK1_1	PDK1	0	380	0	0	0	0	0	0	0	0	0	0	0
sgPFKFB3_4	PFKFB3	0	73	0	0	0	0	0	0	0	0	0	0	0
sgPCK2_2	PCK2	0	105	0	0	0	0	0	0	0	0	0	0	0
sgAIFM1_10	AIFM1	0	355	0	0	0	0	0	0	0	0	0	0	0
sgIDO2_3	IDO2	0	25	0	0	1	0	0	0	0	0	0	0	0
sgATP6V0A4_4	ATP6V0A4	0	313	1660	0	0	0	0	0	0	0	0	0	0
sgHMBS_2	HMBS	0	50	0	0	0	0	0	0	0	0	0	0	0
sgALG5_4	ALG5	0	138	0	0	0	0	0	0	0	0	0	0	0
sgCACNG8_8	CACNG8	0	257	0	23629	0	7	32	0	0	0	0	0	7
sgGLTP_8	GLTP	0	1	0	1734	0	0	3	0	0	0	0	0	3
sgALOXE3_10	ALOXE3	0	55	22	0	0	0	0	0	0	0	0	0	0
sgABCB6_2	ABCB6	0	82	0	0	0	0	0	0	0	0	0	0	0
sgSLC45A3_4	SLC45A3	0	112	0	0	0	0	0	0	0	0	0	0	0
sgANKH_6	ANKH	0	89	0	0	0	0	0	0	0	0	0	0	0
sgENTPD2_8	ENTPD2	0	1	0	0	0	0	0	0	0	0	0	0	0
sgB3GNT5_2	B3GNT5	0	4	0	0	0	0	0	0	0	0	0	0	0
sgINPP5D_10	INPP5D	0	23	0	0	0	0	0	0	0	0	0	0	0
sgCHST9_9	CHST9	0	26	0	0	0	0	0	0	0	0	0	0	0
sgASAH1_8	ASAH1	0	17	0	0	0	0	0	0	0	0	0	0	0
sgSLC35F3_2	SLC35F3	0	1	0	0	0	0	0	0	0	0	0	0	0
sgITPKC_4	ITPKC	0	1	0	0	0	0	0	0	31822	0	0	0	0
sgSLC35F4_2	SLC35F4	0	4	0	0	0	0	0	0	0	0	0	0	0
sgAIFM2_8	AIFM2	0	3	718	0	0	0	0	0	0	0	0	0	0
INTERGENIC775746	INTERGENIC	0	5	0	2	0	0	0	0	0	0	0	0	0
sgTXNRD3_2	TXNRD3	0	1	0	0	0	7621	0	0	0	0	0	0	0
sgNT5C_5	NT5C	0	1	0	0	0	28286	0	0	0	0	0	0	0
sgSAT2_1	SAT2	0	8	0	0	0	0	0	0	0	0	0	0	3
sgHCN3_2	HCN3	0	16	0	0	0	0	0	0	0	0	0	0	0
sgPI4KB_6	PI4KB	0	1	0	0	0	2402	0	0	402	0	0	0	0
sgPLCD3_6	PLCD3	0	1	0	0	0	0	0	0	0	0	0	0	0
sgEPN3_8	EPN3	0	5	0	0	0	0	0	0	0	0	0	0	0
sgARSF_2	ARSF	0	5	0	0	0	0	0	0	0	0	0	0	0
sgDLST_9	DLST	0	1	0	2063	0	0	2	0	0	0	0	0	1
sgAGMO_3	AGMO	0	1	0	0	0	0	0	0	0	0	0	0	0
sgSTARD10_1	STARD10	0	1	0	0	0	0	0	0	0	0	0	0	0
sgNAA20_4	NAA20	0	7	0	0	0	6	0	0	0	0	0	0	0
sgMAN2B1_8	MAN2B1	0	1	622	0	0	0	1	0	121519	0	0	0	0
sgCA6_1	CA6	0	1	0	0	0	0	0	0	0	0	0	0	0
sgSCN11A_8	SCN11A	0	1	1	0	6634	0	0	0	0	0	0	0	0
sgSLC22A14_8	SLC22A14	0	1	0	10595	0	3	0	0	0	0	0	0	7
sgTXNRD2_7	TXNRD2	0	1	0	0	0	12303	0	0	0	0	0	0	0
sgTXNDC12_9	TXNDC12	0	1	0	4346	0	0	4	0	0	0	0	0	2
sgSLC22A12_9	SLC22A12	0	3	0	0	0	0	0	0	0	0	0	0	0
sgIPMK_3	IPMK	0	2	0	0	0	0	0	0	0	0	0	0	0
sgACOT4_5	ACOT4	0	1	0	0	0	0	0	0	0	0	0	0	0
sgFAHD1_10	FAHD1	0	1	0	0	0	0	0	0	0	0	0	0	0
sgUGT1A6_8	UGT1A6	0	0	1577	0	0	1	0	0	0	0	0	0	0
sgSLC45A2_4	SLC45A2	0	0	7635	0	1	2	1	0	0	0	0	1	2
sgHEPHL1_10	HEPHL1	0	0	3373	0	0	0	0	0	0	0	0	0	0
sgNDUFA1_3	NDUFA1	0	0	15515	2054	0	2	0	0	0	1	0	0	4
sgHAS1_8	HAS1	0	0	14299	0	1	3	1	0	0	0	0	0	3
sgPHOSPHO1_1	PHOSPHO1	0	0	5014	0	1	1	0	0	0	0	0	0	1
sgSTAT5B_2	STAT5B	0	0	1809	0	0	0	0	0	0	0	0	0	1
sgAKR7A3_6	AKR7A3	0	0	2187	1147	0	0	1	0	0	0	0	0	0
sgGK2_7	GK2	0	0	9339	0	0	1	0	0	0	0	0	0	4
sgCYP26C1_1	CYP26C1	0	0	1495	0	0	0	0	0	0	0	0	0	0
sgCHRNB2_2	CHRNB2	0	0	12324	0	2067	0	0	0	0	0	0	0	1
sgNDUFA1_2	NDUFA1	0	0	1682	0	0	0	0	0	0	0	0	0	0
sgGALNT8_7	GALNT8	0	0	4937	0	0	1	0	0	0	0	0	0	1
sgUQCRC2_5	UQCRC2	0	0	7596	0	0	1	0	0	0	0	0	0	0
sgSLC25A36_3	SLC25A36	0	0	1771	0	0	0	0	0	0	0	0	0	0
sgCHID1_7	CHID1	0	0	1823	0	0	0	0	0	0	0	0	0	1
sgSOAT1_9	SOAT1	0	0	2433	0	0	0	0	0	0	0	0	0	0
sgPANK3_8	PANK3	0	0	907	0	0	1	0	0	0	0	0	0	0
sgSLC18A1_6	SLC18A1	0	0	2620	0	0	0	0	0	0	0	0	0	0
sgMBOAT1_3	MBOAT1	0	0	1523	0	0	1	0	0	0	0	0	0	0
sgSLC35B2_10	SLC35B2	0	0	1671	0	0	0	0	0	0	0	0	0	0
sgB3GALT6_3	B3GALT6	0	0	1821	0	0	0	0	0	0	0	0	0	0
sgGABRD_8	GABRD	0	0	1696	0	0	0	0	0	0	0	0	0	0
sgAPOA2_1	APOA2	0	0	1800	0	0	0	0	0	0	0	0	0	0
sgPIK3CB_9	PIK3CB	0	0	10539	0	0	3	0	0	0	1	0	0	1
INTERGENIC879080	INTERGENIC	0	0	1731	0	0	0	0	0	0	0	0	0	0
sgSLC1A7_6	SLC1A7	0	0	3008	0	0	1	0	0	0	0	0	0	0
sgMAT1A_10	MAT1A	0	0	1235	0	0	1	0	0	0	0	0	0	0
sgFPGS_5	FPGS	0	0	2477	0	0	954	0	0	0	0	0	0	1
sgNOS2_2	NOS2	0	0	3791	89	0	0	0	0	0	0	0	0	0
